Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	23.579882	12.676021	76.0	8.0	23.579882	0.04346871	0.1081233	0.3296908	-0.21734133	4000	-5.6028366e-08	393.41092	-0.022751579	-101.05939	0.6736881	0.010173037	0.2435	79.0	3.85738205909729
1	27.42069	14.303444	83.0	8.0	27.42069	3.7541103	0.25022638	4.164606	2.2181513	8000	9.262562e-08	381.54797	-0.014380185	-105.713776	0.6840189	0.0052529364	0.054	79.0	8.707081317901611
2	36.327274	22.883146	119.0	10.0	36.327274	8.274677	0.13802466	8.481903	7.28542	12000	2.9802323e-09	720.23285	-0.0140579315	-119.51453	0.67182404	0.004464946	0.0525	79.0	13.071817874908447
3	54.61644	39.84031	200.0	10.0	54.61644	12.251854	0.2057102	12.427729	8.277588	16000	-4.4107438e-08	2091.959	-0.012367213	-239.25647	0.65789026	0.0034650282	0.0495	79.0	16.47485065460205
4	73.96296	49.643158	200.0	16.0	73.96296	16.915926	0.036090657	16.95559	16.378098	20000	8.833408e-08	2899.6252	-0.011221316	-281.46582	0.6378886	0.005674674	0.044	79.0	20.407956838607788
5	107.675674	56.706955	200.0	21.0	107.675674	21.263798	0.036108203	21.293072	20.893303	24000	-5.1259995e-08	4082.731	-0.007203625	-369.53125	0.6228816	0.004560157	0.02675	79.0	24.869674921035767
6	141.39285	59.974003	200.0	15.0	141.39285	25.698048	0.0074511017	25.70595	25.593248	28000	4.2915346e-08	5251.2764	-0.0060066157	-442.60352	0.615741	0.0025411854	0.02025	79.0	28.337113857269287
7	181.59091	20.28582	200.0	136.0	181.59091	30.087969	0.00856621	30.094252	30.015959	32000	-8.964538e-08	5669.816	-0.0022980704	-443.82324	0.60621274	0.0019568163	0.005	79.0	31.812491416931152
8	173.34782	37.380077	200.0	89.0	173.34782	34.181538	0.02011907	34.189632	33.86266	36000	1.0704994e-07	5196.763	-0.003373558	-365.05713	0.600334	0.0040793046	0.019	79.0	36.129592418670654
9	139.17857	44.95716	200.0	31.0	139.17857	36.345207	5.117212	37.688034	-19.670132	40000	-2.3722649e-08	3250.811	-0.0060511697	-217.95776	0.5998272	0.015295063	0.16125	8.0	39.949793577194214
10	179.22728	38.78722	200.0	51.0	179.22728	39.235676	3.954202	40.301624	4.5922027	44000	-2.4557114e-08	4900.2993	-0.0057423185	-293.7671	0.59729046	0.005516189	0.01775	79.0	43.50486493110657
11	179.59091	31.32333	200.0	76.0	179.59091	41.358727	7.199733	43.381516	-5.6003036	48000	-4.386902e-08	4387.173	-0.0068811947	-263.76025	0.58893394	0.011997022	0.06325	79.0	47.0608127117157
12	180.31818	26.626007	200.0	103.0	180.31818	46.1387	1.2761763	46.30941	31.407578	52000	-1.397133e-07	4121.4087	-0.005672812	-206.07495	0.58090127	0.008069704	0.02975	79.0	51.40667700767517
13	188.7619	21.021315	200.0	139.0	188.7619	45.892048	8.018151	48.913403	6.9449263	56000	2.7894973e-08	4221.8325	-0.0038273248	-241.29346	0.58339596	0.002592374	0.0195	79.0	55.51731276512146
14	195.25	12.393043	200.0	148.0	195.25	48.853493	7.7141056	51.65499	6.297399	60000	-1.4781952e-08	4230.9404	-0.002910804	-229.83911	0.578873	0.004885469	0.02925	79.0	59.02557873725891
15	193.1	28.080065	200.0	71.0	193.1	53.070423	5.5102262	54.363743	6.1267023	64000	-2.193451e-08	4219.7964	-0.002459279	-221.76831	0.5707546	0.003028789	0.017	79.0	62.578134059906006
16	196.9	8.3600235	200.0	171.0	196.9	51.999336	10.801417	56.96082	-13.277172	68000	2.6464463e-08	3844.597	-0.0056093815	-211.91309	0.57547134	0.003854931	0.06425	79.0	67.44614434242249
17	198.7	4.6486554	200.0	179.0	198.7	56.727077	8.650083	59.47178	7.2336674	72000	-2.9087067e-08	3819.612	-0.0031022874	-179.60376	0.57101065	0.0050614234	0.024	79.0	71.15416026115417
18	195.35	10.204289	200.0	163.0	195.35	61.61553	1.6407218	61.771015	35.1268	76000	9.536744e-10	3551.8462	-0.00378267	-156.75269	0.57260656	0.005529724	0.0265	79.0	74.76151061058044
19	200.0	0.0	200.0	200.0	200.0	62.44225	6.7685137	63.829803	3.7885602	80000	4.7683715e-09	3934.6023	-0.0026320438	-150.30103	0.57562625	0.0072916774	0.03175	79.0	78.36719298362732
20	199.2	2.4	200.0	192.0	199.2	65.82375	2.379494	66.07525	30.208168	84000	-8.5830685e-09	3458.2336	-0.0008584271	-108.16211	0.57215565	0.0010930292	0.007	79.0	83.20905447006226
21	198.6	4.4877615	200.0	181.0	198.6	67.72169	1.685509	67.99201	41.964558	88000	3.4809112e-08	3324.138	-0.0045774323	-114.51831	0.5607556	0.007867045	0.04875	79.0	86.6786367893219
22	196.8	13.948477	200.0	136.0	196.8	57.420383	27.216728	69.80906	-63.063305	92000	6.6757204e-09	3494.7456	-0.004888418	-518.9927	0.5640884	0.007457548	0.05125	79.0	90.15116477012634
23	199.0	2.9832866	200.0	187.0	199.0	71.5435	2.0489018	71.730194	34.79448	96000	2.6226044e-09	3166.6208	-0.0035868743	-80.159424	0.5639362	0.0050397944	0.02225	79.0	93.92340111732483
24	200.0	0.0	200.0	200.0	200.0	73.36187	0.028398054	73.36768	73.00126	100000	4.005432e-08	3507.565	-0.0031086064	-80.95752	0.5700306	0.0054354854	0.03925	79.0	98.57630610466003
25	191.65	19.568535	200.0	119.0	191.65	75.129105	0.0008810232	75.12969	75.1235	104000	1.680851e-08	3084.5918	-0.003686734	-51.216064	0.5742519	0.0029457621	0.00775	79.0	102.05159258842468
26	195.95	8.985961	200.0	169.0	195.95	76.57902	0.0011462204	76.57975	76.57089	108000	-3.671646e-08	2896.3728	-0.00105825	-40.421387	0.5652101	0.004743098	0.04175	79.0	105.58525538444519
27	193.6	8.569715	200.0	173.0	193.6	77.87833	0.00085908716	77.87886	77.87255	112000	5.2452087e-09	2838.809	-0.004698092	-34.876465	0.5657192	0.006677771	0.05175	79.0	109.8000419139862
28	198.55	4.5768433	200.0	181.0	198.55	79.103966	0.000713401	79.10441	79.09744	116000	1.66893e-08	2897.1775	-0.0034099503	-33.21875	0.56427777	0.0058258404	0.0365	79.0	114.14808058738708
29	192.95	14.385671	200.0	137.0	192.95	80.318	0.00078551116	80.318504	80.312126	120000	2.360344e-08	2837.413	-0.0015856469	-27.937256	0.5704156	0.001940371	0.0065	79.0	117.66070580482483
30	197.4	5.7393374	200.0	177.0	197.4	81.45564	0.0010610492	81.45626	81.448135	124000	-4.529953e-09	2791.8423	-0.0021556308	-23.747559	0.56480354	0.0021757574	0.02075	79.0	121.19681167602539
31	184.5238	16.989126	200.0	144.0	184.5238	82.52337	0.0012983703	82.523926	82.51012	128000	-2.014637e-08	2543.363	-0.0039360654	-9.231201	0.57768846	0.0033660873	0.04625	79.0	125.75768399238586
32	174.54546	22.104559	200.0	139.0	174.54546	83.221825	0.00064775615	83.22218	83.215836	132000	-1.9073486e-08	2479.0396	-0.0071302075	-2.6115723	0.5707698	0.00708929	0.04875	79.0	129.73048639297485
33	183.2381	16.922527	200.0	148.0	183.2381	83.60561	0.00045102084	83.60589	83.60186	136000	-2.169609e-08	2578.3188	-0.0019556447	-6.9956055	0.57293725	0.0033509512	0.03675	79.0	133.33221006393433
34	171.26086	15.456017	200.0	134.0	171.26086	84.20508	0.000485374	84.20538	84.19984	140000	0.0	2138.8975	-0.0050855363	-0.32177734	0.5695369	0.0062567843	0.04225	79.0	136.8037829399109
35	173.34782	16.061317	200.0	152.0	173.34782	84.10655	0.00037826202	84.10679	84.10309	144000	-1.1444092e-08	2201.9053	-0.0032120156	-0.2548828	0.5718413	0.003886739	0.053	79.0	141.65974497795105
36	188.66667	20.860838	200.0	107.0	188.66667	83.98039	0.0008165809	83.980774	83.97169	148000	-1.1920929e-09	2606.6035	-0.002390999	-7.4121094	0.5526277	0.0051311823	0.034	79.0	145.32363104820251
37	197.3	6.0835843	200.0	176.0	197.3	84.610985	0.00050961704	84.61127	84.60506	152000	-6.6161157e-09	2727.2505	-0.003907652	-15.9729	0.5537031	0.005773727	0.05575	79.0	148.84886360168457
38	192.1	25.67859	200.0	84.0	192.1	85.60155	0.00038921382	85.60178	85.598076	156000	3.3378602e-09	2889.152	-0.0018509146	-18.250244	0.5487442	0.0030380955	0.02775	79.0	152.6941978931427
39	197.95	8.935743	200.0	159.0	197.95	86.69179	0.00041964022	86.69204	86.68782	160000	8.106232e-09	2733.088	-0.0020940928	-11.243164	0.54567796	0.0042106984	0.03675	79.0	157.4023985862732
40	192.45	22.992338	200.0	112.0	192.45	87.578415	0.0004500073	87.57868	87.57401	164000	1.0490417e-08	2836.859	-0.0018364649	-10.935791	0.5422593	0.004786869	0.01525	79.0	160.9486403465271
41	195.7	18.743267	200.0	114.0	195.7	88.455986	0.00062156736	88.45628	88.449356	168000	-1.0490417e-08	2730.8696	-0.0037738648	-7.140869	0.5384471	0.0063678143	0.04725	79.0	164.4064815044403
42	200.0	0.0	200.0	200.0	200.0	89.18794	0.00045998525	89.18821	89.184074	172000	9.536744e-10	3103.8562	-0.0020118342	-20.001709	0.5381944	0.0023222566	0.00825	79.0	168.55518507957458
43	199.25	3.269174	200.0	185.0	199.25	90.3925	0.00040680368	90.39273	90.38776	176000	1.2397766e-08	2723.1897	-0.0030731387	-3.614502	0.5347431	0.0033508725	0.0215	79.0	172.9320523738861
44	200.0	0.0	200.0	200.0	200.0	90.96621	0.0003732945	90.96642	90.96127	180000	-7.629395e-09	3088.2075	-0.0017319764	-13.873535	0.53446037	0.0026254887	0.032	79.0	176.36749362945557
45	200.0	0.0	200.0	200.0	200.0	92.000175	0.0004983186	92.00044	91.99588	184000	5.722046e-09	3081.884	-0.002622081	-11.370605	0.5331633	0.0041254736	0.01675	79.0	179.8095965385437
46	195.25	17.207193	200.0	122.0	195.25	92.98686	0.00026897484	92.98704	92.98341	188000	0.0	2696.2905	-0.0017824764	-0.24658203	0.54641116	0.001565536	0.0075	79.0	184.04381680488586
47	198.4	6.31981	200.0	171.0	198.4	93.1834	0.00038503873	93.183624	93.17833	192000	-3.4809112e-08	2690.707	-0.0027891938	-0.06738281	0.5523176	0.0035837106	0.04075	79.0	188.17377281188965
48	187.04762	37.225792	200.0	25.0	187.04762	93.262886	0.000374654	93.26308	93.25843	196000	2.0503998e-08	2645.9736	-0.0023001996	-0.25756836	0.54461694	0.0052263513	0.03975	79.0	191.57080602645874
49	191.55	9.9923725	200.0	166.0	191.55	93.11789	0.00032564468	93.11809	93.11473	200000	-2.861023e-09	2757.761	-0.005876339	-0.13549805	0.5517808	0.0065615876	0.04575	79.0	195.04186010360718
