rho_bin_0_count	rho_bin_1_count	rho_bin_2_count	rho_bin_3_count	rho_bin_4_count	rho_bin_5_count	rho_bin_6_count	rho_bin_7_count	rho_bin_8_count	rho_bin_9_count	rho_bin_10_count	Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
tensor(25223)	tensor(3173)	tensor(8387)	tensor(10103)	tensor(10067)	tensor(7644)	tensor(4776)	tensor(3337)	tensor(2587)	tensor(1722)	tensor(2981)	0	125.509865	113.11579	960.3182	-10.0	3.6288567	-0.16449921	0.06646952	0.13109264	-0.42107612	4000	0.0050407867	20148.783	-0.044828866	-1486.6836	6.155591	0.015367583	0.2215	13.0	40.19092869758606
tensor(23636)	tensor(3256)	tensor(8934)	tensor(10369)	tensor(10604)	tensor(7803)	tensor(5067)	tensor(3341)	tensor(2611)	tensor(1648)	tensor(2731)	1	142.66426	123.90106	951.604	-10.0	3.9408867	8.495492	0.00043459196	8.495504	8.479332	8000	0.004880987	23113.03	-0.06427957	-1061.1914	6.1496773	0.015902653	0.34075	20.0	78.95463418960571
tensor(22905)	tensor(3338)	tensor(8588)	tensor(10227)	tensor(10621)	tensor(8152)	tensor(5278)	tensor(3457)	tensor(2749)	tensor(1764)	tensor(2921)	2	154.86557	123.88658	742.7282	-10.0	4.138716	14.3605385	0.00034902658	14.36055	14.348879	12000	0.0051116003	21964.715	-0.05405568	-956.7168	6.1177073	0.015643712	0.22875	13.0	114.97137427330017
tensor(22325)	tensor(3410)	tensor(8630)	tensor(10487)	tensor(10966)	tensor(7993)	tensor(5239)	tensor(3730)	tensor(2689)	tensor(1718)	tensor(2813)	3	165.32916	130.82242	962.39954	-10.0	4.265742	19.815777	0.0002217617	19.815784	19.809853	16000	0.0050414894	25168.152	-0.04969555	-968.3047	6.0769506	0.015611493	0.2535	11.0	152.03788900375366
tensor(21401)	tensor(3560)	tensor(8632)	tensor(10890)	tensor(11085)	tensor(8349)	tensor(5244)	tensor(3715)	tensor(2690)	tensor(1802)	tensor(2632)	4	184.70078	144.6837	754.9433	-10.0	4.5819016	25.24188	6.604443e-05	25.241882	25.237705	20000	0.004932296	29852.238	-0.048174705	-1178.0332	6.019851	0.015544415	0.285	11.0	186.39198756217957
tensor(20516)	tensor(3666)	tensor(8750)	tensor(11260)	tensor(11147)	tensor(8103)	tensor(5371)	tensor(3776)	tensor(2761)	tensor(1860)	tensor(2790)	5	203.37654	147.85207	1328.6742	-10.0	4.8250904	31.107994	7.0350914e-05	31.107992	31.104853	24000	0.005110889	32264.88	-0.04929111	-1156.7656	5.951072	0.015627481	0.26475	10.0	219.74699640274048
tensor(19189)	tensor(3860)	tensor(8849)	tensor(11475)	tensor(11831)	tensor(8653)	tensor(5575)	tensor(3660)	tensor(2756)	tensor(1767)	tensor(2385)	6	229.30127	174.39766	1104.3267	-10.0	5.249344	36.86314	0.00019571316	36.863155	36.860672	28000	0.004799209	43006.227	-0.04657145	-1478.4258	5.875441	0.016918158	0.3465	11.0	251.5616147518158
tensor(18486)	tensor(3731)	tensor(8985)	tensor(11624)	tensor(11587)	tensor(8888)	tensor(5664)	tensor(3785)	tensor(2972)	tensor(1757)	tensor(2521)	7	253.20528	191.81136	1916.8118	-10.0	5.568245	43.19018	6.9968635e-05	43.190186	43.188206	32000	0.0049667167	55792.895	-0.043075796	-1702.6328	5.779494	0.017021846	0.27	10.0	282.85061144828796
tensor(17561)	tensor(3805)	tensor(9081)	tensor(12046)	tensor(11914)	tensor(8919)	tensor(5760)	tensor(3923)	tensor(2819)	tensor(1823)	tensor(2349)	8	278.44208	191.65227	1400.6335	-10.0	5.9156804	49.811024	3.5861656e-05	49.81102	49.80943	36000	0.00486123	54492.55	-0.03599075	-1707.3594	5.685202	0.01686709	0.31925	11.0	312.91918540000916
tensor(16253)	tensor(3970)	tensor(9306)	tensor(12866)	tensor(12266)	tensor(9089)	tensor(5620)	tensor(3712)	tensor(2873)	tensor(1757)	tensor(2288)	9	327.71896	221.49677	1241.4025	-10.0	6.6968174	56.297047	9.404434e-05	56.297047	56.295734	40000	0.0048221247	69653.3	-0.042044923	-2226.2812	5.574103	0.01544716	0.29875	10.0	340.63509249687195
