rho_bin_0_count	rho_bin_1_count	rho_bin_2_count	rho_bin_3_count	rho_bin_4_count	rho_bin_5_count	rho_bin_6_count	rho_bin_7_count	rho_bin_8_count	rho_bin_9_count	rho_bin_10_count	Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
tensor(25176)	tensor(3234)	tensor(8477)	tensor(10215)	tensor(10074)	tensor(7381)	tensor(4988)	tensor(3276)	tensor(2651)	tensor(1622)	tensor(2906)	0	125.77822	112.71618	742.7249	-10.0	3.6351228	-0.16744229	0.064197674	0.1339246	-0.37158793	4000	0.004966181	19324.3	-0.060193524	-1479.7715	6.155649	0.01642548	0.262	17.0	41.79390096664429
tensor(23759)	tensor(3327)	tensor(8486)	tensor(10295)	tensor(10423)	tensor(7770)	tensor(5448)	tensor(3329)	tensor(2692)	tensor(1741)	tensor(2730)	1	145.8421	119.13196	599.5244	-10.0	3.988036	8.462418	0.0005157305	8.462432	8.443593	8000	0.0049137156	20725.139	-0.06497591	-1007.25	6.141174	0.01599228	0.3435	18.0	79.72669005393982
tensor(22634)	tensor(3467)	tensor(8522)	tensor(10755)	tensor(10706)	tensor(7883)	tensor(5180)	tensor(3389)	tensor(2755)	tensor(1733)	tensor(2976)	2	159.66566	121.71426	746.64154	-10.0	4.1985292	14.226781	0.0005402655	14.226812	14.216593	12000	0.0051469253	22087.283	-0.06428068	-986.89844	6.1049232	0.015965857	0.393	17.0	116.3999674320221
tensor(21400)	tensor(3716)	tensor(8723)	tensor(10537)	tensor(11108)	tensor(8417)	tensor(5262)	tensor(3449)	tensor(2667)	tensor(1846)	tensor(2875)	3	180.79848	135.12817	970.538	-10.0	4.517514	19.791456	0.00012557596	19.79146	19.785843	16000	0.005124171	27835.682	-0.05376924	-1131.498	6.052972	0.015650155	0.29425	13.0	151.95797395706177
tensor(20665)	tensor(3698)	tensor(8657)	tensor(10711)	tensor(11124)	tensor(8461)	tensor(5637)	tensor(3784)	tensor(2766)	tensor(1769)	tensor(2728)	4	199.01999	146.37543	840.8157	-10.0	4.79952	25.607172	0.00016563376	25.60717	25.601679	20000	0.005056475	31728.12	-0.049091157	-1254.2109	5.9925756	0.016327946	0.31275	12.0	185.19925117492676
tensor(20125)	tensor(3649)	tensor(8796)	tensor(11123)	tensor(11269)	tensor(8503)	tensor(5633)	tensor(3882)	tensor(2722)	tensor(1773)	tensor(2525)	5	210.56944	150.51888	906.1939	-10.0	4.9321823	31.59656	8.81454e-05	31.596563	31.592514	24000	0.004900672	33592.23	-0.044005454	-1225.9219	5.918129	0.017092038	0.2845	11.0	219.34790754318237
tensor(19162)	tensor(3779)	tensor(8788)	tensor(11242)	tensor(11562)	tensor(8590)	tensor(5723)	tensor(3994)	tensor(2774)	tensor(1866)	tensor(2520)	6	234.22441	174.86955	1837.5247	-10.0	5.3209057	37.431744	4.3608223e-05	37.431744	37.428986	28000	0.00495844	47290.508	-0.045097895	-1465.125	5.83689	0.017013773	0.3275	11.0	251.20766592025757
tensor(17567)	tensor(4000)	tensor(9499)	tensor(12040)	tensor(12092)	tensor(8579)	tensor(5730)	tensor(3822)	tensor(2707)	tensor(1703)	tensor(2261)	7	269.63718	192.77219	1171.1948	-10.0	5.853587	43.65229	0.0	43.65229	43.65229	32000	0.004733537	54148.645	-0.045524683	-1840.4766	5.743842	0.017308211	0.352	11.0	281.80319118499756
tensor(17171)	tensor(3963)	tensor(9052)	tensor(12168)	tensor(12194)	tensor(8973)	tensor(5718)	tensor(3913)	tensor(2802)	tensor(1782)	tensor(2264)	8	288.6458	190.56189	1040.2195	-10.0	6.1209803	50.416195	3.099075e-05	50.416187	50.414295	36000	0.004787041	52806.992	-0.04271341	-1717.832	5.6374016	0.017064627	0.31175	10.0	311.34445214271545
tensor(15817)	tensor(4277)	tensor(9466)	tensor(13002)	tensor(12825)	tensor(8628)	tensor(5799)	tensor(3759)	tensor(2677)	tensor(1619)	tensor(2131)	9	345.93857	260.91904	1995.3002	-10.0	6.9634147	56.83376	2.564884e-05	56.833767	56.83221	40000	0.004662541	103336.875	-0.037158854	-2893.3516	5.5260634	0.01760565	0.27175	10.0	339.10309410095215
tensor(14758)	tensor(3977)	tensor(9793)	tensor(13111)	tensor(12748)	tensor(9174)	tensor(5672)	tensor(3929)	tensor(2800)	tensor(1801)	tensor(2237)	10	383.94473	299.392	3061.231	-10.0	7.6045628	64.706924	3.141954e-05	64.70694	64.705696	44000	0.004836524	146931.42	-0.038613223	-3437.9219	5.4027967	0.016764754	0.36225	11.0	366.5608763694763
tensor(13977)	tensor(4282)	tensor(10269)	tensor(13583)	tensor(13037)	tensor(8951)	tensor(5845)	tensor(3800)	tensor(2681)	tensor(1642)	tensor(1933)	11	435.55182	336.13507	1918.2909	-10.0	8.309772	72.90002	1.6038523e-05	72.9	72.899704	48000	0.00455328	165789.92	-0.034243688	-4127.1875	5.256204	0.016613945	0.3435	11.0	392.42554545402527
tensor(12722)	tensor(4325)	tensor(10589)	tensor(13851)	tensor(13716)	tensor(9311)	tensor(5622)	tensor(3950)	tensor(2637)	tensor(1606)	tensor(1671)	12	506.3709	406.9883	2667.9404	-10.0	9.327103	81.372894	1.4993265e-05	81.37289	81.37208	52000	0.0043664654	253790.36	-0.03352481	-5344.8594	5.1066523	0.015092515	0.40175	11.0	417.1859498023987
tensor(11865)	tensor(4436)	tensor(10746)	tensor(14442)	tensor(14088)	tensor(9021)	tensor(5559)	tensor(3987)	tensor(2632)	tensor(1506)	tensor(1718)	13	585.78033	504.07263	3085.4438	-10.0	10.551451	90.39684	1.5258789e-05	90.39683	90.39683	56000	0.0044064485	379823.84	-0.03186751	-7127.125	4.939305	0.016532876	0.2945	11.0	441.1797456741333
tensor(10598)	tensor(4797)	tensor(11797)	tensor(14560)	tensor(14396)	tensor(9322)	tensor(5515)	tensor(3846)	tensor(2474)	tensor(1390)	tensor(1305)	14	699.04944	647.0279	3966.1597	-10.0	12.152439	100.05344	1.575844e-05	100.05343	100.05293	60000	0.0040432266	655684.6	-0.032000277	-10576.5	4.7618556	0.015716368	0.4505	14.0	462.4799773693085
tensor(9528)	tensor(4639)	tensor(12342)	tensor(15793)	tensor(14801)	tensor(9091)	tensor(5575)	tensor(3722)	tensor(2239)	tensor(1215)	tensor(1055)	15	907.77704	790.6692	5511.0894	53.44099	15.256705	110.73243	2.2888184e-05	110.73245	110.73245	64000	0.0038067794	977054.4	-0.026958188	-13755.0	4.540413	0.016314175	0.4105	14.0	483.2910714149475
tensor(8866)	tensor(5013)	tensor(12808)	tensor(15817)	tensor(14925)	tensor(9050)	tensor(5120)	tensor(3648)	tensor(2296)	tensor(1263)	tensor(1194)	16	1022.3047	838.47845	3873.9172	-10.0	16.88983	121.735115	7.6293945e-06	121.73512	121.73512	68000	0.0039215316	1045024.9	-0.024683837	-13781.25	4.3680396	0.016559256	0.25975	13.0	502.651328086853
tensor(7938)	tensor(5261)	tensor(13855)	tensor(16637)	tensor(15030)	tensor(8479)	tensor(5160)	tensor(3497)	tensor(2155)	tensor(1026)	tensor(962)	17	1321.4127	1249.1166	7334.505	53.44078	21.126984	131.87596	1.5626296e-05	131.87598	131.87575	72000	0.003666593	2478569.8	-0.021629972	-24920.25	4.200812	0.01612725	0.27725	12.0	521.6452760696411
tensor(7447)	tensor(5453)	tensor(14217)	tensor(16528)	tensor(14632)	tensor(8768)	tensor(4977)	tensor(4004)	tensor(2038)	tensor(1128)	tensor(808)	18	1609.6237	1485.0321	7690.777	54.973854	25.388535	143.90697	1.5258789e-05	143.90695	143.90695	76000	0.003577109	3500463.0	-0.022271613	-29031.75	4.0306554	0.015783314	0.1505	16.0	539.8399407863617
